Ordre,Brand,Model,Year,Price,Mileage,Age,FuelType,Transmission,AdditionalInfo
73,Ford,Corolla,2007,-1,-5000.0,17.0,Petrol,Automatic,Fleet vehicle
74,Ford,Sportage,2013,14700,247000.0,11.0,Gas,Semi-Automatic,Refurbished
75,Mercedes,Sportage,2004,-1,103000.0,20.0,Electric,Automatic,Imported
76,Nissan,Impala,2011,18000,,13.0,Hybrid,Automatic,First owner
77,Mercedes,Impala,2001,17900,122500.0,23.0,Hybrid,Manual,Refurbished
78,Honda,Altima,1993,32500,11000.0,31.0,Gas,Automatic,Refurbished
79,Hyundai,Unknown,2015,45100,230000.0,9.0,Gas,Semi-Automatic,Refurbished
80,Kia,Corolla,0,-1,285000.0,,Electric,Semi-Automatic,Refurbished
81,Nissan,Elantra,1993,31600,-5000.0,31.0,Petrol,Automatic,First owner
82,Audi,Altima,2011,7100,286500.0,13.0,Petrol,Automatic,Fleet vehicle
83,Chevrolet,Civic,2000,22300,171500.0,24.0,Gas,Semi-Automatic,Refurbished
84,BMW,Corolla,2011,33600,51000.0,13.0,Hybrid,Manual,Imported
85,Honda,Altima,1991,19700,48000.0,33.0,Hybrid,Manual,First owner
86,Ford,C-Class,1999,25600,219000.0,25.0,Hybrid,Automatic,Imported
87,Mercedes,X5,1991,22700,39500.0,33.0,Electric,Semi-Automatic,
88,Honda,Impala,1994,5400,92000.0,30.0,Electric,Semi-Automatic,Imported
89,Mercedes,Civic,2007,19800,96000.0,17.0,Gas,Automatic,Fleet vehicle
90,Chevrolet,Elantra,2003,Error,238000.0,21.0,Gas,Automatic,
91,Hyundai,Sportage,2007,39800,188000.0,17.0,Diesel,Automatic,
92,Hyundai,A4,2006,19600,266500.0,18.0,Petrol,Semi-Automatic,Fleet vehicle
93,Honda,Unknown,2008,45300,57000.0,16.0,Hybrid,Semi-Automatic,Fleet vehicle
94,Honda,Sportage,1994,41400,24000.0,30.0,Diesel,Manual,Second owner
95,Kia,F-150,1998,25200,182500.0,26.0,Electric,Manual,
96,Toyota,Corolla,2022,43800,176500.0,2.0,Gas,Semi-Automatic,Fleet vehicle
97,Honda,A4,2012,9100,,12.0,Diesel,Manual,
98,???,Impala,1991,25400,107000.0,33.0,Petrol,Semi-Automatic,Fleet vehicle
99,Chevrolet,Corolla,2005,,274000.0,19.0,Gas,Automatic,Fleet vehicle
100,Hyundai,Elantra,2017,,5500.0,7.0,Petrol,Manual,Fleet vehicle
101,Honda,Civic,2019,26000,89000.0,5.0,Petrol,Semi-Automatic,Refurbished
102,Nissan,Impala,2003,18600,39000.0,21.0,Electric,Semi-Automatic,Fleet vehicle
103,Audi,Impala,2014,32300,69000.0,10.0,Electric,Automatic,Fleet vehicle
104,Toyota,Impala,2014,46500,298500.0,10.0,Electric,Manual,Fleet vehicle
105,Kia,Sportage,1992,25200,178000.0,32.0,Diesel,Manual,Refurbished
106,Ford,C-Class,1997,23900,201000.0,27.0,Gas,Manual,Second owner
107,Toyota,Elantra,1998,,228500.0,26.0,Gas,Manual,Fleet vehicle
108,Nissan,A4,2014,49300,30000.0,10.0,Petrol,Manual,Second owner
109,BMW,Corolla,Year?,22800,218000.0,,Petrol,Automatic,Refurbished
110,Audi,Sportage,2021,45800,93500.0,3.0,Petrol,Semi-Automatic,
111,Nissan,Corolla,1998,6800,102000.0,26.0,Diesel,Semi-Automatic,Fleet vehicle
112,Toyota,A4,2000,18400,76000.0,24.0,Petrol,Semi-Automatic,Refurbished
113,Toyota,Altima,2014,26700,275500.0,10.0,Hybrid,Automatic,Fleet vehicle
114,Nissan,Sportage,2021,29000,158500.0,3.0,Gas,Automatic,Second owner
115,Hyundai,C-Class,Year?,31200,40000.0,,Petrol,Manual,
116,Hyundai,A4,1999,11900,191500.0,25.0,Petrol,Manual,Fleet vehicle
117,Audi,Corolla,2022,22400,298500.0,2.0,Petrol,Automatic,First owner
118,Ford,F-150,2021,36700,58500.0,3.0,Diesel,Automatic,First owner
119,Nissan,Civic,2017,45100,,7.0,Diesel,Manual,
120,BMW,Altima,2004,27300,179000.0,20.0,Petrol,Manual,First owner
121,Audi,F-150,2010,5400,125500.0,14.0,Hybrid,Semi-Automatic,Refurbished
122,Audi,A4,1995,24300,232000.0,29.0,Hybrid,Manual,Refurbished
123,Mercedes,,2013,45400,70000.0,11.0,Gas,Automatic,Imported
124,BMW,Elantra,2012,19300,237000.0,12.0,Diesel,Semi-Automatic,Second owner
125,Mercedes,F-150,2006,11800,196500.0,18.0,Petrol,Automatic,Refurbished
126,Mercedes,Corolla,2016,28000,240000.0,8.0,Petrol,Automatic,Refurbished
127,Audi,Elantra,1991,41000,40000.0,33.0,Electric,Manual,Fleet vehicle
128,Toyota,Civic,2020,28500,179000.0,4.0,Diesel,Semi-Automatic,
129,Chevrolet,Corolla,1994,Error,79500.0,30.0,Electric,Semi-Automatic,Refurbished
130,Honda,F-150,2018,6300,286000.0,6.0,Electric,Automatic,Refurbished
131,,X5,1990,30900,,34.0,Petrol,Automatic,Second owner
132,Chevrolet,Elantra,1996,40800,236500.0,28.0,Diesel,Manual,
133,Nissan,Impala,2023,37000,241500.0,1.0,Electric,Semi-Automatic,First owner
134,Honda,F-150,1999,-1,164000.0,25.0,Petrol,Manual,Fleet vehicle
135,Ford,F-150,2019,4600,269000.0,5.0,Hybrid,Automatic,Refurbished
136,Mercedes,C-Class,Year?,4900,27000.0,,Diesel,Manual,
137,BMW,A4,2014,44400,,10.0,Petrol,Semi-Automatic,Second owner
138,Nissan,Sportage,2019,47600,,5.0,Hybrid,Automatic,Fleet vehicle
139,Mercedes,Civic,1995,30700,43500.0,29.0,Hybrid,Manual,Imported
140,Kia,Elantra,2017,3400,,7.0,Diesel,Automatic,First owner
141,Toyota,Civic,2022,12200,204000.0,2.0,Diesel,Automatic,First owner
142,Kia,A4,2020,,234500.0,4.0,Diesel,Automatic,First owner
143,Honda,Sportage,2005,-1,167000.0,19.0,Hybrid,Semi-Automatic,First owner
144,Nissan,Corolla,1998,47100,199500.0,26.0,Electric,Semi-Automatic,First owner
145,Ford,Altima,Year?,10200,33500.0,,Petrol,Automatic,Fleet vehicle
146,,Altima,2016,40700,111000.0,8.0,Diesel,Automatic,Fleet vehicle
147,Hyundai,X5,2014,46500,197500.0,10.0,Petrol,Semi-Automatic,Fleet vehicle
148,Toyota,Impala,2013,16200,64000.0,11.0,Petrol,Semi-Automatic,Imported
149,Honda,Corolla,2004,-1,239000.0,20.0,Electric,Semi-Automatic,
150,BMW,Elantra,2017,23800,177500.0,7.0,Electric,Semi-Automatic,Fleet vehicle
151,Hyundai,F-150,2009,36000,1000.0,15.0,Hybrid,Manual,First owner
152,Kia,Sportage,1997,34800,22000.0,27.0,Diesel,Automatic,Refurbished
153,Toyota,A4,1999,35000,134500.0,25.0,Diesel,Semi-Automatic,
154,Chevrolet,Civic,2007,6300,,17.0,Gas,Automatic,Second owner
155,???,Impala,1996,38900,67500.0,28.0,Diesel,Automatic,
156,BMW,Civic,2008,17900,226500.0,16.0,Petrol,Automatic,Refurbished
157,???,Impala,2000,2000,237000.0,24.0,Petrol,Semi-Automatic,
158,BMW,Sportage,1993,16400,256500.0,31.0,Electric,Semi-Automatic,Second owner
159,Kia,Sportage,2014,,65500.0,10.0,Diesel,Semi-Automatic,Refurbished
160,Audi,Altima,1997,3700,8500.0,27.0,Electric,Semi-Automatic,Fleet vehicle
161,BMW,X5,2011,20800,195500.0,13.0,Petrol,Manual,Second owner
162,Nissan,C-Class,2011,33200,254500.0,13.0,Diesel,Semi-Automatic,Refurbished
163,Kia,X5,2014,43500,251000.0,10.0,Hybrid,Semi-Automatic,Fleet vehicle
164,Kia,,2017,15400,69000.0,7.0,Electric,Semi-Automatic,
165,Ford,Corolla,2001,45300,192500.0,23.0,Electric,Semi-Automatic,Second owner
166,Chevrolet,Civic,2004,23300,80500.0,20.0,Petrol,Automatic,Refurbished
167,Chevrolet,A4,1992,16700,207500.0,32.0,Petrol,Manual,First owner
168,Toyota,Elantra,1996,33400,86500.0,28.0,Gas,Automatic,Imported
169,Audi,Altima,1997,36600,230000.0,27.0,Hybrid,Manual,First owner
170,Honda,Corolla,2020,1600,54000.0,4.0,Electric,Semi-Automatic,Fleet vehicle
171,Audi,C-Class,1998,16000,161000.0,26.0,Gas,Automatic,Second owner
172,Toyota,A4,2021,32700,205500.0,3.0,Diesel,Automatic,Fleet vehicle
173,Kia,A4,1994,43000,,30.0,Petrol,Automatic,First owner
174,Honda,Sportage,2006,37000,75500.0,18.0,Hybrid,Automatic,Refurbished
175,Toyota,A4,1999,16600,238500.0,25.0,Hybrid,Automatic,Fleet vehicle
176,Mercedes,Altima,2008,41600,83000.0,16.0,Petrol,Automatic,Second owner
177,,X5,2002,1900,56000.0,22.0,Diesel,Manual,First owner
178,Kia,X5,1998,11500,,26.0,Petrol,Automatic,Imported
179,Toyota,Civic,,44900,2000.0,,Electric,Automatic,Imported
180,Ford,C-Class,1993,3300,214500.0,31.0,Gas,Manual,Imported
181,Honda,C-Class,1993,21800,270500.0,31.0,Petrol,Semi-Automatic,Fleet vehicle
182,Toyota,C-Class,2022,39800,52000.0,2.0,Diesel,Semi-Automatic,
183,Mercedes,Elantra,2005,3000,233000.0,19.0,Petrol,Manual,First owner
184,Kia,C-Class,1990,43100,235000.0,34.0,Petrol,Manual,Fleet vehicle
185,Hyundai,C-Class,1998,19400,239000.0,26.0,Gas,Manual,
186,Nissan,Elantra,1998,43700,15000.0,26.0,Diesel,Manual,Second owner
187,Hyundai,F-150,2001,36200,139500.0,23.0,Hybrid,Automatic,Second owner
188,Ford,F-150,2014,27400,73500.0,10.0,Gas,Manual,Fleet vehicle
189,Toyota,A4,2009,6500,201500.0,15.0,Gas,Semi-Automatic,Refurbished
190,Mercedes,X5,2003,46100,70500.0,21.0,Gas,Manual,Fleet vehicle
191,Honda,Sportage,1991,42500,147500.0,33.0,Petrol,Manual,
192,Chevrolet,F-150,2004,31800,236500.0,20.0,Petrol,Manual,Fleet vehicle
193,Toyota,F-150,1999,28400,160000.0,25.0,Gas,Semi-Automatic,
194,Nissan,A4,2015,37800,174000.0,9.0,Hybrid,Manual,Imported
195,Ford,Impala,1995,Error,208000.0,29.0,Petrol,Automatic,Second owner
196,Nissan,Civic,2019,3100,5500.0,5.0,Diesel,Manual,
197,BMW,F-150,2002,49200,225500.0,22.0,Gas,Semi-Automatic,Refurbished
198,Mercedes,C-Class,2017,35300,214500.0,7.0,Diesel,Automatic,
199,Chevrolet,X5,2010,12900,113500.0,14.0,Diesel,Semi-Automatic,Fleet vehicle
200,Hyundai,Altima,1992,1000,198000.0,32.0,Hybrid,Semi-Automatic,
201,???,Corolla,2017,12900,259500.0,7.0,Gas,Semi-Automatic,Fleet vehicle
202,Nissan,Elantra,2005,3900,248000.0,19.0,Petrol,Semi-Automatic,
203,Hyundai,Impala,2015,15000,,9.0,Hybrid,Automatic,Fleet vehicle
204,BMW,Sportage,2001,20200,231500.0,23.0,Gas,Automatic,First owner
205,Chevrolet,Sportage,2019,19100,204000.0,5.0,Electric,Semi-Automatic,First owner
206,Toyota,Civic,Year?,,253500.0,,Hybrid,Semi-Automatic,
207,Hyundai,Corolla,2000,23200,245000.0,24.0,Petrol,Semi-Automatic,Imported
208,BMW,X5,2009,48700,129500.0,15.0,Petrol,Automatic,First owner
209,Nissan,F-150,1990,34400,172500.0,34.0,Electric,Automatic,First owner
210,Audi,X5,1994,34000,273500.0,30.0,Diesel,Semi-Automatic,
211,Ford,Impala,2019,28000,80500.0,5.0,Gas,Manual,Imported
212,Chevrolet,Civic,2016,10200,84500.0,8.0,Hybrid,Manual,
213,Toyota,X5,2001,35000,55000.0,23.0,Hybrid,Semi-Automatic,First owner
214,Chevrolet,Sportage,1990,26700,243500.0,34.0,Diesel,Automatic,Refurbished
215,???,X5,2001,3800,151000.0,23.0,Petrol,Manual,Refurbished
216,Nissan,Impala,1993,24100,145500.0,31.0,Hybrid,Semi-Automatic,Refurbished
217,Hyundai,Altima,2009,34800,28000.0,15.0,Diesel,Automatic,Imported
218,Hyundai,Altima,2009,32200,81000.0,15.0,Diesel,Semi-Automatic,First owner
219,BMW,Civic,2010,6000,282000.0,14.0,Petrol,Automatic,Refurbished
220,Toyota,F-150,1996,,17500.0,28.0,Gas,Automatic,Fleet vehicle
221,Audi,Altima,2011,44300,195500.0,13.0,Gas,Manual,Refurbished
222,BMW,,1991,18600,103000.0,33.0,Petrol,Semi-Automatic,Second owner
223,Nissan,A4,1995,45500,254500.0,29.0,Hybrid,Semi-Automatic,
224,Kia,F-150,2007,32900,175000.0,17.0,Petrol,Manual,Imported
225,Nissan,C-Class,1996,43600,4000.0,28.0,Electric,Manual,Imported
226,Audi,Elantra,1990,43500,214500.0,34.0,Petrol,Manual,Imported
227,Chevrolet,F-150,2017,26200,36000.0,7.0,Electric,Manual,Fleet vehicle
228,Honda,Unknown,1991,49000,113500.0,33.0,Gas,Automatic,
229,Nissan,Elantra,1993,,132000.0,31.0,Gas,Automatic,Refurbished
230,Mercedes,Sportage,1998,Error,296000.0,26.0,Petrol,Semi-Automatic,Refurbished
231,,A4,2012,41300,69000.0,12.0,Diesel,Automatic,Fleet vehicle
232,,Corolla,2015,46900,123000.0,9.0,Electric,Semi-Automatic,Second owner
233,Toyota,Altima,2009,27200,132000.0,15.0,Petrol,Manual,Refurbished
234,Nissan,A4,2013,22000,143000.0,11.0,Hybrid,Manual,
235,Honda,A4,2014,31900,42000.0,10.0,Diesel,Semi-Automatic,Imported
236,Nissan,X5,2013,14100,103500.0,11.0,Gas,Manual,
237,Toyota,C-Class,2020,44300,149500.0,4.0,Gas,Automatic,Fleet vehicle
238,Hyundai,Corolla,2009,19900,121500.0,15.0,Petrol,Semi-Automatic,Fleet vehicle
239,Kia,C-Class,2015,32600,133500.0,9.0,Hybrid,Manual,Fleet vehicle
240,Chevrolet,F-150,1994,27300,174500.0,30.0,Hybrid,Manual,Refurbished
241,Nissan,A4,2012,6200,270000.0,12.0,Gas,Automatic,Imported
242,Chevrolet,Corolla,1991,22600,87500.0,33.0,Electric,Automatic,Fleet vehicle
243,Mercedes,Impala,2012,21800,75000.0,12.0,Petrol,Manual,Refurbished
244,Audi,F-150,2021,20100,267000.0,3.0,Diesel,Manual,
245,Toyota,X5,1993,12900,50000.0,31.0,Electric,Automatic,Imported
246,Honda,Sportage,2021,26600,215500.0,3.0,Electric,Automatic,First owner
247,Chevrolet,A4,2011,-1,93500.0,13.0,Hybrid,Manual,Second owner
248,Honda,Sportage,1999,35200,251500.0,25.0,Petrol,Manual,Refurbished
249,Hyundai,X5,0,23800,,,Hybrid,Semi-Automatic,First owner
250,Nissan,Altima,2016,5500,46000.0,8.0,Petrol,Automatic,Imported
251,BMW,C-Class,2012,,209000.0,12.0,Hybrid,Automatic,Second owner
252,Audi,C-Class,2004,32200,80500.0,20.0,Hybrid,Manual,Refurbished
253,Nissan,Altima,1998,Error,168000.0,26.0,Diesel,Semi-Automatic,Refurbished
254,Audi,A4,2012,46500,250000.0,12.0,Hybrid,Automatic,
255,Kia,A4,1993,40000,8500.0,31.0,Gas,Manual,Refurbished
256,Audi,Sportage,2012,11700,231000.0,12.0,Hybrid,Semi-Automatic,Refurbished
257,Kia,Elantra,2003,6900,216000.0,21.0,Petrol,Automatic,Imported
258,Mercedes,Impala,2016,30300,116000.0,8.0,Hybrid,Automatic,Imported
259,Ford,Sportage,2017,2800,172000.0,7.0,Electric,Semi-Automatic,Refurbished
260,Nissan,Civic,2016,44800,150000.0,8.0,Gas,Semi-Automatic,Imported
261,BMW,X5,2004,26900,187500.0,20.0,Electric,Semi-Automatic,Imported
262,Nissan,Sportage,1998,11600,95500.0,26.0,Petrol,Manual,Refurbished
263,,,1995,38800,154000.0,29.0,Diesel,Automatic,Refurbished
264,Audi,F-150,1997,38000,269000.0,27.0,Gas,Automatic,First owner
265,Kia,C-Class,1999,13600,131000.0,25.0,Electric,Semi-Automatic,
266,Honda,Corolla,2008,16900,,16.0,Hybrid,Manual,
267,Kia,Unknown,1997,26100,67500.0,27.0,Electric,Automatic,Second owner
268,Toyota,X5,2003,14000,52000.0,21.0,Gas,Automatic,First owner
269,Mercedes,C-Class,1996,34800,286000.0,28.0,Petrol,Semi-Automatic,Fleet vehicle
270,Honda,Civic,1991,1700,262000.0,33.0,Petrol,Automatic,Imported
271,Nissan,Altima,2017,45300,108000.0,7.0,Diesel,Manual,Refurbished
272,Honda,A4,2011,18800,,13.0,Petrol,Manual,
273,Audi,Corolla,2014,38900,266500.0,10.0,Diesel,Automatic,Second owner
274,Audi,Sportage,2022,-1,135000.0,2.0,Gas,Automatic,First owner
275,Toyota,Altima,1998,19000,,26.0,Gas,Manual,
276,Ford,Altima,1995,44500,,29.0,Petrol,Semi-Automatic,Second owner
277,Mercedes,Unknown,2004,4100,68000.0,20.0,Hybrid,Semi-Automatic,Second owner
278,Audi,Altima,2017,15200,224000.0,7.0,Hybrid,Manual,Refurbished
279,Toyota,F-150,2015,3100,,9.0,Diesel,Manual,Second owner
280,Chevrolet,Impala,2006,-1,279000.0,18.0,Electric,Automatic,Refurbished
281,Honda,Altima,2019,35000,208000.0,5.0,Diesel,Manual,Second owner
282,Honda,F-150,2008,4200,167000.0,16.0,Electric,Semi-Automatic,Fleet vehicle
283,Honda,Civic,1991,20600,-5000.0,33.0,Gas,Automatic,First owner
284,Nissan,Impala,1995,29000,-5000.0,29.0,Electric,Automatic,Fleet vehicle
285,Ford,Sportage,1999,7500,234000.0,25.0,Diesel,Automatic,
286,Nissan,Altima,2002,36800,223000.0,22.0,Electric,Manual,Fleet vehicle
287,,A4,2018,42700,291000.0,6.0,Gas,Semi-Automatic,Second owner
288,BMW,Sportage,2023,36100,225000.0,1.0,Petrol,Manual,Fleet vehicle
289,Mercedes,Elantra,2018,14200,231000.0,6.0,Gas,Manual,Second owner
290,Kia,Elantra,1996,28000,100500.0,28.0,Gas,Manual,Imported
291,Ford,Civic,1995,26800,135500.0,29.0,Petrol,Manual,Refurbished
292,Nissan,Sportage,2015,41100,107500.0,9.0,Hybrid,Manual,Fleet vehicle
293,Nissan,A4,1990,15600,99500.0,34.0,Diesel,Manual,
294,Nissan,Impala,2002,8100,6000.0,22.0,Hybrid,Semi-Automatic,Second owner
295,Honda,Impala,2013,26000,209500.0,11.0,Hybrid,Semi-Automatic,First owner
296,Nissan,C-Class,2015,4400,76000.0,9.0,Petrol,Manual,First owner
297,Kia,Altima,1997,28300,1500.0,27.0,Petrol,Manual,First owner
298,BMW,Impala,2011,37500,-5000.0,13.0,Diesel,Automatic,Fleet vehicle
299,Honda,X5,2016,22800,252000.0,8.0,Diesel,Semi-Automatic,Fleet vehicle
300,Audi,A4,1995,10000,,29.0,Electric,Manual,Imported
301,Audi,Altima,1996,-1,167000.0,28.0,Diesel,Automatic,
302,Honda,Altima,2004,44800,94000.0,20.0,Petrol,Automatic,Imported
303,Ford,A4,2014,22500,,10.0,Diesel,Manual,
304,BMW,Corolla,2006,28400,35000.0,18.0,Petrol,Semi-Automatic,Refurbished
305,???,Altima,1992,,19000.0,32.0,Gas,Semi-Automatic,Refurbished
306,Chevrolet,X5,1992,33700,50500.0,32.0,Electric,Semi-Automatic,Refurbished
307,???,Elantra,2019,36000,32000.0,5.0,Electric,Manual,First owner
308,Nissan,Civic,2008,11800,196000.0,16.0,Diesel,Semi-Automatic,First owner
309,Chevrolet,A4,2014,22200,218000.0,10.0,Diesel,Automatic,Refurbished
310,Hyundai,X5,2013,12600,39000.0,11.0,Electric,Manual,Second owner
311,Honda,X5,,14500,238000.0,,Hybrid,Manual,
312,Honda,X5,1991,43300,23000.0,33.0,Gas,Manual,Fleet vehicle
313,Honda,Civic,2010,33500,256500.0,14.0,Electric,Semi-Automatic,Refurbished
314,Chevrolet,Corolla,2016,32600,234500.0,8.0,Diesel,Manual,Imported
315,Ford,Altima,1994,26100,133500.0,30.0,Petrol,Automatic,Fleet vehicle
316,Chevrolet,F-150,2013,36400,85000.0,11.0,Diesel,Semi-Automatic,Second owner
317,Mercedes,Elantra,2011,8800,132000.0,13.0,Gas,Automatic,First owner
318,Kia,Impala,1991,7300,175000.0,33.0,Petrol,Manual,First owner
319,Audi,A4,2015,45700,,9.0,Gas,Automatic,First owner
320,Audi,Sportage,2013,13200,212000.0,11.0,Electric,Automatic,Fleet vehicle
321,BMW,A4,2022,23000,34000.0,2.0,Petrol,Automatic,Fleet vehicle
322,Chevrolet,Corolla,2002,23700,153500.0,22.0,Hybrid,Manual,Fleet vehicle
323,???,Corolla,2021,31700,53000.0,3.0,Hybrid,Manual,Imported
324,Kia,Civic,1996,,206500.0,28.0,Petrol,Semi-Automatic,Fleet vehicle
325,Chevrolet,Civic,2014,-1,19500.0,10.0,Gas,Automatic,Fleet vehicle
326,Hyundai,Elantra,1996,7600,,28.0,Electric,Semi-Automatic,Fleet vehicle
327,Mercedes,Sportage,1991,41700,6500.0,33.0,Petrol,Semi-Automatic,
328,Chevrolet,C-Class,2005,14800,124500.0,19.0,Petrol,Automatic,First owner
329,Kia,,1998,34700,293000.0,26.0,Electric,Automatic,Second owner
330,Nissan,Impala,2015,Error,17000.0,9.0,Hybrid,Automatic,First owner
331,Hyundai,Civic,,Error,155000.0,,Petrol,Semi-Automatic,First owner
332,Nissan,C-Class,2003,18900,198000.0,21.0,Gas,Semi-Automatic,Refurbished
333,Chevrolet,X5,2008,21300,165000.0,16.0,Gas,Semi-Automatic,
334,Ford,Unknown,2012,27300,58500.0,12.0,Petrol,Automatic,Refurbished
335,Nissan,A4,2018,17800,27500.0,6.0,Diesel,Manual,Fleet vehicle
336,Nissan,Elantra,0,21200,30500.0,,Diesel,Automatic,Refurbished
337,Honda,F-150,2007,11900,145500.0,17.0,Petrol,Manual,
